  Denonimation,  Date creation,  Siege social,  Forme juridique,  Secteur d activite,  url,  Registre de commerce,  Capital
CCBM AUTOMOBILE SA,01/07/2010,DAKAR-AVENUE LAMINE GUEYE...,SOCIETE ANONYME (S.A),INDUSTRIES AUTOMOBILES,http://www.creationdentreprise.sn/ccbm-automobile-sa, SNDKR2010B9717,10000000
EXPERT MEDIA SARL,05/07/2010,DAKAR-CITE SONATEL 2 VILLA N°...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/expert-media-sarl, SNDKR2010B9781,1000000
KIDS LOISIRS SUARL,05/07/2010,SICAP LIBERTE 5 VILLA N°5318...,S.U.A.R.L,INDUSTRIE CULTURELLE,http://www.creationdentreprise.sn/kids-loisirs-suarl, SNDKR2010B9774,1000000
WEST AFRICA INVESTMENT AND TRADING -SARL,05/07/2010,OUAGOU NIAYES 2 LOT 12 VILLA...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMPORT-EXPORT,http://www.creationdentreprise.sn/west-africa-investment-and-trading-sarl, SNDKR2010B9775,1000000
AL BOURAKH DISTRIBUTION SERVICES ET INTEGRATION,05/07/2010,CITE MAMELLES AVIATION LOT N°...,S.U.A.R.L,NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/al-bourakh-distribution-services-et-integration, SNDKR2010B9776,1000000
iGREEN CAPITAL SARL,05/07/2010,LIBERTE 6 EXTENSION VDN VILLA...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),FINANCE,http://www.creationdentreprise.sn/igreen-capital-sarl, SNDKR2010B9777,1000000
TERNCOTER SARL,23/06/2010,BOULEVARD GENERAL DE GAULLE N...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),MATERIAUX DE CONSTRUCTION,http://www.creationdentreprise.sn/terncoter-sarl, SNDKR2010B9160,1000000
LA MAISON DE DIARIZ SUARL,24/06/2010,DAKAR- FANN RESIDENCE VILLA N...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/la-maison-de-diariz-suarl, SNDKR2010B9288,1000000
SOCIETE DE CONSTRUCTION D&#039;EQUIPEMENT ET D&#039;ENTRETIEN- S.C.2.E  SARL,25/06/2010,SICAP RUE 10 VILLA N°36,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/societe-de-constructiondequipement-et-dentretien-sc2e-sarl, SNDKR2010B9335,1000000
PERFORMANCE IMMOBILIER  - PERFIMMO SARL,21/07/2010,02  PLACE DE L&#039;...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMMOBILIER,http://www.creationdentreprise.sn/performance-immobilier-perfimmo-sarl, SNDKR2010B9019,1000000
PARTNER RH SA,21/06/2010,MERMOZ PYROTECHNIE VILLA N°46...,SOCIETE ANONYME (S.A),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/partner-rh-sa, SNDKR2010B9021,1000000
CABINET NORD SUD CONSULTING SARL,28/06/2010,CITE SHS GOLF NORD VILLA N°54...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),FINANCE,http://www.creationdentreprise.sn/cabinet-nord-sud-consulting-sarl, SNDKR2010B9461,1000000
KN PRESTIGE SARL,28/06/2010,DAKAR-68 MERMOZ PYROTECHNIE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ALIMENTAIRE,http://www.creationdentreprise.sn/kn-prestige-sarl, SNDKR2010B9462,1000000
PHILEAS SARL,28/06/2010,DAKAR-CANAL 4 x AVENUE CHEIKH...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMUNICATION,http://www.creationdentreprise.sn/phileas-sarl, SNDKR2010B9385,1000000
CODITRANS SENEGAL SA,28/06/2010,124 AVENUE CHEIKH ANTA DIOP,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),TRANSPORT,http://www.creationdentreprise.sn/coditrans-senegal-sa, SNDKR2010B9384,1000000
REBUJENA INVESTMENTS SARL,25/06/2010,DAKAR-1 PLACE DE L&#039;...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMPORT-EXPORT,http://www.creationdentreprise.sn/rebujena-investments-sarl, SNDKR2010B9337,1000000
ASS SERVICES SUARL -- A2S SERVICES SUARL,14/06/2010,SCAT URBAM GRAND YOFF VILLA N...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/ass-services-suarl-a2s-services-suarl, SNDKR2010B8577,1000000
MIDI BOX PREFA SARL,08/06/2010,AUTOROUTE EN FACE TECHNOPOLE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/midi-box-prefa-sarl, SNDKR2010B8526,1000000
AFRICA CARTRIDGE COMPANY -SARL,21/06/2010,SACRE COEUR 3 PYROTECHNIE N°C...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/africa-cartridge-company-sarl, SNDKR2010B9020,1000000
GOLD UBS SAU,18/07/2010,27 AVENUE GEORGES POMPIDOU,SOCIETE ANONYME UNIPERSONELLE(S.A.U),INDUSTRIE EXTRACTIVE - MINES ET CARRIERES,http://www.creationdentreprise.sn/gold-ubs-sau, SNDKR2010B8943,1000000
SENEGAL SINICOM DEVELOPMENT COMMUNICATION TECHNOLOGY LTD,18/07/2010,FENETRE MERMOZ 5A,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMUNICATION,http://www.creationdentreprise.sn/senegal-sinicom-development-communication-technology-ltd, SNDKR2010B8942,1000000
SOCIETE SETIGUI SIDIBE SARL,07/07/2010,2742 DIEUPPEUL 3 -DAKAR,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIES CHIMIQUES,http://www.creationdentreprise.sn/societe-setigui-sidibe-sarl, SNDKR2010B8144,1000000
ORYX SA,23/06/2010,DAKAR-47 BOULEVARD DE LA...,SOCIETE ANONYME (S.A),IMMOBILIER,http://www.creationdentreprise.sn/oryx-sa, SNDKR2010B9159,1000000
ETABLISSEMENT BABALY SARL UNIPERSONNELLE,22/06/2010,DAKAR-FENETRE MERMOZ ...,S.U.A.R.L,COIFFURE SOINS DE BEAUTE/MODE,http://www.creationdentreprise.sn/etablissement-babaly-sarl-unipersonnelle, SNDKR2010B9065,1000000
STUDIO-COM SARL,04/06/2010,DAKAR- NORD FOIRE AZUR 2 N°20,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMUNICATION,http://www.creationdentreprise.sn/studio-com-sarl, SNDKR2010B8084,1000000
IFA INTERNATIONAL SARL,10/06/2010,DAKAR- RUFISQUE HLM SANTE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),AGRO-ALIMENTAIRE,http://www.creationdentreprise.sn/ifa-international-sarl, SNDKR2010B8525,1000000
GROUPE CHALLENGE SARL,16/06/2010,DAKAR- SACRE COEUR 1 VILLA N°...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/groupe-challenge-sarl, SNDKR2010B8811,1000000
NAVIRDAKAR SARL,10/06/2010,27  CITE IMPOTS ET DOMAINES,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),AFFAIRES MARITIMES,http://www.creationdentreprise.sn/navirdakar-sarl, SNDKR2010B8477,1000000
PESCA COREA SENEGAL SARL,16/07/2010,DAKAR- SICAP BAOBAB VILLA N°...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/pesca-corea-senegal-sarl, SNDKR2010B8769,1000000
PASS-PASS SUARL,16/07/2010,28 EXTENSION NORD PATTE D...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/pass-pass-suarl, SNDKR2010B8770,1000000
MEMO CONSULTING SUARL,16/06/2010,DAKAR-129 NORD FOIRE EXTENSION,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/memo-consulting-suarl, SNDKR2010B8792,1000000
SOON S.A,10/06/2010,DAKAR LIBERTE 6 APPARTEMENT N...,SOCIETE ANONYME (S.A),INDUSTRIE CULTURELLE,http://www.creationdentreprise.sn/soon-sa, SNDKR2010B8475,10000000
EMIRAT DABAKH MALICK IMPORT EXPORT SARL,15/06/2010,DAKAR-HANN MARINAS VILLA N°1 B,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMPORT-EXPORT,http://www.creationdentreprise.sn/emirat-dabakh-malick-import-export-sarl, SNDKR2010B8690,1000000
MHL SENEGAL SUARL,14/06/2010,14 AVENUE DES JAMBARS -DAKAR,S.U.A.R.L,BTP,http://www.creationdentreprise.sn/mhl-senegal-suarl, SNDKR2010B8578,10000000
ARISCO SARL,14/06/2010,SACRE COEUR 3 VDN N°1078 DAKAR,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/arisco-sarl, SNDKR2010B8582,1000000
COPADEX,08/06/2010,CABINET DELOITTE SENEGAL...,SUCCURSALE,PRESTATION DE SERVICES INDUSTRIELS,http://www.creationdentreprise.sn/copadex, SNDKR2010B8267,1000000
OMEGA BIOMEDICAL SERVICES SUARL,24/06/2010,SACRE COEUR 3 VDN VILLA N°...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/omega-biomedical-services-suarl, SNDKR2010B9294,1000000
MF TRADING AND LOGISTIC SUARL,24/06/2010,DAKAR- YOFF CITE DIAMALAYE...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/mf-trading-and-logistic-suarl, SNDKR2010B9295,1000000
SAH SARL,29/06/2010,SCAT URBAM HANN MARISTES 2...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/sah-sarl, SNDKR2010B9534,1000000
RIO FAST FOOD SARL,24/06/2010,RUFISQUE KEURY KAO,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ALIMENTAIRE,http://www.creationdentreprise.sn/rio-fast-food-sarl, SNDKR2010B9290,1000000
KLEEN SERVICES SENEGAL SARL,24/06/2010,SOTRAC MERMOZ N°87/C DAKAR,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ENTRETIEN ET NETTOYAGE,http://www.creationdentreprise.sn/kleen-services-senegal-sarl, SNDKR2010B9292,1000000
GROUPEMENT D&#039;ARCHITECTURE ET D&#039;INGENIERIE SARL -GEAI SARL,29/06/2010,SALLE 6 IMMEUBLE ABC SIS RUE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ARCHITECTURE,http://www.creationdentreprise.sn/groupement-darchitecture-et-dingenierie-sarl-geai-sarl, SNDKR2010B9533,1000000
TECHNIQUE SECURITE HYGIENE ET ENVIRONNEMENT PREVENTION PREVISION ET PROTECTION - TSE3P SARL,29/06/2010,YOFF FACE CENTRE AERE BCEAO -...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/technique-securite-hygiene-et-environnement-prevention-prevision-et-protection-tse3p-sarl, SNDKR2010B9532,1000000
KINLAY SARL,29/06/2010,BARGNY-NGOUDE NDIAYENNE,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE METALLURGIQUE / SIDERURGIQUE,http://www.creationdentreprise.sn/kinlay-sarl, SNDKR2010B9531,1000000
EVENT COM SARL,29/06/2010,DAKAR- SENEGAL POINT E RUE 6...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/event-com-sarl, SNDKR2010B9530,1000000
TROPIQUES DIFFUSION SARL,16/06/2010,HLM GRAND YOFF N°51 A DAKAR,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/tropiques-diffusion-sarl, SNDKR2010B8810,1000000
BAKHE YAYE  SARL,06/08/2010,DAKAR-RUES VALMY x PAUL HOLLE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/bakhe-yaye-sarl, SNDKR2010B11593,1000000
LINKED PARTNERS SARL,06/08/2010,DAKAR-31 CITE SONATEL 1,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/linked-partners-sarl, SNDKR2010B11594,1000000
ENTREPRISE DE BATIMENT ET DE GENIE CIVIL SUARL,29/07/2010,DAKAR-146 OUEST FOIRE,S.U.A.R.L,BTP,http://www.creationdentreprise.sn/entreprise-de-batiment-et-de-genie-civil-suarl, SNDKR2010B11185,2000000
RAG INDUSTRY,12/08/2010,ZONE INDUSTRIELLE SUD ROCADE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIES TEXTILES,http://www.creationdentreprise.sn/rag-industry, SNDKR2010B11905,1000000
TRANS SAHELIENNE DE TRANSPORT ET DE NEGOCE -T.S.T.N SARL,12/08/2010,DAKAR KM 9 BOULEVARD DU...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),TRANSPORT,http://www.creationdentreprise.sn/trans-sahelienne-de-transport-et-de-negoce-tstn-sarl, SNDKR2010B11904,2000000
C,17/08/2010,DAKAR SCAT URBAM GRAND YOFF...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE MANUFACTURIERE,http://www.creationdentreprise.sn/c-0, SNDKR2010B11903,1000000
MEDI DIFFUSION SUARL,14/08/2010,DAKAR-YOFF TOUNDOUP RYA  N°9,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/medi-diffusion-suarl, SNDKR2010B10343,1000000
GEKA FINANCE INTERNATIONAL SARL,12/08/2010,DAKAR-LOT N°29 SACRE COEUR...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),FINANCE,http://www.creationdentreprise.sn/geka-finance-international-sarl, SNDKR2010B11906,1000000
KHELCOM FINANCES S.A.U,11/08/2010,115 RUE CARNOT,SOCIETE ANONYME UNIPERSONELLE(S.A.U),FINANCE,http://www.creationdentreprise.sn/khelcom-finances-sau, SNDKR2010B11780,10000000
AGTT S.A,11/08/2010,115 RUE CARNOT -DAKAR,SOCIETE ANONYME (S.A),BTP,http://www.creationdentreprise.sn/agtt-sa, SNDKR2010B11781,10000000
AUDIT ASSISTANCE ET CONSEILS AUX ENTREPRISES - AUDACE AUDIT ET CONSEILS SUARL,06/08/2010,DAKAR-4241 SICAP AMITIE 2,S.U.A.R.L,PRESTATIONS DE SERVICES ECONOMIQUES,http://www.creationdentreprise.sn/audit-assistance-et-conseils-aux-entreprises-audace-audit-et-conseils-suarl, SNDKR2010B11596,1000000
MONDIALCOM SARL,06/08/2010,DAKAR-AVENUE LEOPOLD SEDAR...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMUNICATION,http://www.creationdentreprise.sn/mondialcom-sarl, SNDKR2010B11595,1000000
SOCIÉTÉ DE PRODUCTION DE SERPILLIÈRES -SOPROSERP SARL,06/08/2010,DAKAR ZONE INDUSTRIELLE RUE 4,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE MANUFACTURIERE,http://www.creationdentreprise.sn/societe-de-production-de-serpillieres-soproserp-sarl, SNDKR2010B11597,1000000
GLOBAL NEGOCE SERVICES SARL,06/08/2010,DAKAR-VILLA N°40 ROND POINT...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/global-negoce-services-sarl, SNDKR2010B11598,1000000
PROSOL TECHNOLOGIES SENEGAL SARL,06/08/2010,DAKAR-SODIDA LOT N° 13,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ENERGIE / PRODUITS PETROLIERS,http://www.creationdentreprise.sn/prosol-technologies-senegal-sarl, SNDKR2010B11599,1000000
METALUX CRAFT SARL,06/08/2010,DAKAR-MERMOZ PYROTECHNIQUE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE METALLURGIQUE / SIDERURGIQUE,http://www.creationdentreprise.sn/metalux-craft-sarl, SNDKR2010B11589,1000000
BIAYE FRERES ET SOEURS SARL,06/08/2010,DAKAR-PARCELLES ASSAINIES...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/biaye-freres-et-soeurs-sarl, SNDKR2010B11590,1000000
AFRICAN TRADING MORAW - AT MORAW  SUARL,06/08/2010,DAKAR-RUE 12 MOHAMED 5,S.U.A.R.L,IMPORT-EXPORT,http://www.creationdentreprise.sn/african-trading-moraw-moraw-suarl, SNDKR2010B11591,1000000
TAMSEY INVEST SARL,06/08/2010,DAKAR RUE MANGIN x AMBROISE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),TRANSPORT,http://www.creationdentreprise.sn/tamsey-invest-sarl, SNDKR2010B11592,1000000
DRUM RESOURCES LIMITED SARL,04/08/2010,DAKAR-LA RESIDENCE ALMADIES...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/drum-resources-limited-sarl, SNDKR2010B11460,1000000
INTERNATIONAL MANAGEMENT CONSULTING AND SERVICES -IMCS SUARL,10/08/2010,LIBERTE 6 EXTENSION N°167...,S.U.A.R.L,PRESTATIONS DE SERVICES ECONOMIQUES,http://www.creationdentreprise.sn/international-management-consulting-and-services-imcs-suarl, SNDKR2010B11705,1000000
BISSAI ASSURANCES SA,10/08/2010,DAKAR-NGOR ALMADIES RU NG LOT...,SOCIETE ANONYME (S.A),ASSURANCES,http://www.creationdentreprise.sn/bissai-assurances-sa, SNDKR2010B11703,10000000
PRESTASCOM SARL,04/08/2010,DAKAR-HLM NIMZATT LOT N°07...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMMOBILIER,http://www.creationdentreprise.sn/prestascom-sarl, SNDKR2010B11461,1000000
BFM AGENCY SARL,09/08/2010,DAKAR-ZONE B VILLA N°19 B,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),TOURISME,http://www.creationdentreprise.sn/bfm-agency-sarl, SNDKR2010B11670,1000000
DL INTERNATIONAL BUSINESS SOLUTIONS SARL,09/08/2010,DAKAR-31 CITE DAMEL EN FACE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/dl-international-business-solutions-sarl, SNDKR2010B11669,1000000
WIN-GRAPHIC SARL,09/08/2010,DAKAR-56 RUE ARISTIDE LE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/win-graphic-sarl, SNDKR2010B11668,1000000
SPEEDEX SARL,09/08/2010,CITE GÉOGRAPHIQUE VILLA N°033...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/speedex-sarl, SNDKR2010B11667,1000000
GROUPE MAGO TRADING SERVICES SARL,09/08/2010,SACRE COEUR 3 VILLA N°133 BIS...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/groupe-mago-trading-services-sarl, SNDKR2010B11666,1000000
SELENIA SUARL,09/08/2010,DAKAR FANN HOCK RUE 65 x 68...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/selenia-suarl, SNDKR2010B11614,1000000
BABEL BUSINESS SARL,06/08/2010,DAKAR-OUAKAM CITE AVION VILLA...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COIFFURE SOINS DE BEAUTE/MODE,http://www.creationdentreprise.sn/babel-business-sarl, SNDKR2010B11600,1000000
CONCEPTION DE SOLUTIONS ARCHITECTURALES FONCTIONNELLES INTÉGRÉES AU SITE -COSAFIS SUARL,04/08/2010,DAKAR DAROU SALAM GUEDIAWAYE...,S.U.A.R.L,BTP,http://www.creationdentreprise.sn/conception-de-solutions-architecturales-fonctionnelles-integrees-au-site-cosafis-suarl, SNDKR2010B11457,1000000
GROUPE IMMO DIAMNIADIO,04/08/2010,DIAMNIADIO ROUTE DE MBOUR...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMMOBILIER,http://www.creationdentreprise.sn/groupe-immo-diamniadio, SNDKR2010B11458,1000000
SOMOKOF SUARL,02/08/2010,DAKAR-HAMO GRAND YOFF N°K/39,S.U.A.R.L,COURTAGE,http://www.creationdentreprise.sn/somokof-suarl, SNDKR2010B11279,1000000
ESPACES ASSURANCES SA,03/08/2010,DAKAR VDN EN FACE CICES...,SOCIETE ANONYME (S.A),COURTAGE,http://www.creationdentreprise.sn/espaces-assurances-sa, SNDKR2010B11372,10000000
KEUR MAME DIARRA SUARL,03/08/2010,DAKAR LOT 24/A SODIDA-SONEPI,S.U.A.R.L,INDUSTRIES AUTOMOBILES,http://www.creationdentreprise.sn/keur-mame-diarra-suarl, SNDKR2010B11369,1000000
CEFDEL SARL,03/08/2010,RESIDENCE OCEAN VIEW LOT N°15...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/cefdel-sarl, SNDKR2010B11370,1000000
UPRISING GROUP SARL,03/08/2010,COMMERCE 7 A RDC-IMMEUBLE L...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/uprising-group-sarl, SNDKR2010B11371,1000000
ENDAAM CONFECTION AER -SUARL,05/08/2010,HLM GRAND YOFF VILLA N°260...,S.U.A.R.L,INDUSTRIES TEXTILES,http://www.creationdentreprise.sn/endaam-confection-aer-suarl, SNDKR2010B11588,1000000
SOCIETES DES NOUVELLES TECHNOLOGIES ET SERVICES -S.N.T.S SUARL,10/08/2010,DAKAR BANLIEUE 131 CITE...,S.U.A.R.L,NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/societes-des-nouvelles-technologies-et-services-snts-suarl, SNDKR2010B11748,1000000
VISUAL EFFECTS SARL,10/08/2010,DAKAR-ESPACE VEMA EMBARCADERE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMUNICATION,http://www.creationdentreprise.sn/visual-effects-sarl, SNDKR2010B11704,1000000
SOFIA CHEIKH COMPANY CONSULTING SUARL,27/07/2010,DAKAR APECSY 1 YOFF N°187...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/sofia-cheikh-company-consulting-suarl, SNDKR2010B11027,1000000
SOULHABIB LOGISTIQUE TRANSPORT INTERNATIONAL - S.L.T INTERNATIONAL,29/07/2010,SACRE COEUR 3 VILLA N°190...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),TRANSPORT,http://www.creationdentreprise.sn/soulhabib-logistique-transport-international-slt-international, SNDKR2010B11184,1000000
SOCIETE INTERNATIONALE POUR LE NEGOCE ET LE COMMERCE -S.I.N.C SARL,27/07/2010,DAKAR-12 BOULEVARD DJILY MBAYE,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/societe-internationale-pour-le-negoce-et-le-commerce-sinc-sarl, SNDKR2010B11047,1000000
ALBARAKA TRADING SARL,27/07/2010,DAKAR-60 RUE VALMY x ESCARFAIT,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/albaraka-trading-sarl, SNDKR2010B11024,1000000
MEGADIS SARL,05/08/2010,DAKAR ROUTE DE RUFISQUE KM 3....,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/megadis-sarl, SNDKR2010B11587,1000000
ATRIUM GROUP SUARL,04/08/2010,6 RUE JOFFRE DAKAR,S.U.A.R.L,COMMUNICATION,http://www.creationdentreprise.sn/atrium-group-suarl, SNDKR2010B11459,3900000
AFRICA SALES PRICES SARL,04/08/2010,76 RUE MOUSSE DIOP A DAKAR,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/africa-sales-prices-sarl, SNDKR2010B11462,1770000
WESTIN SENEGAL SARL,04/08/2010,PROVISOIREMENT AU 27 AVENUE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE EXTRACTIVE - MINES ET CARRIERES,http://www.creationdentreprise.sn/westin-senegal-sarl, SNDKR2010B11463,1000000
REGIE DES TRANSPORTS URBAINS ET INTERURBAINS DU SENEGAL SARL,04/08/2010,DAKAR GARE PETERSEN N°A18,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/regie-des-transports-urbains-et-interurbains-du-senegal-sarl, SNDKR2010B11464,1000000
DELTA SENEGAL SUARL,04/08/2010,DAKAR 41 B BOULEVARD DU...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/delta-senegal-suarl, SNDKR2010B11465,1000000
INSTITUT DE FORMATION PREVENTION ET SECURITE SARL,29/07/2010,DAKAR-RUE 2,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),SECURITE/SURVEILLANCE,http://www.creationdentreprise.sn/institut-de-formation-prevention-et-securite-sarl, SNDKR2010B11183,1000000
QUADRA SARL,29/07/2010,DAKAR SENEGAL ALMADIES FACE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMMOBILIER,http://www.creationdentreprise.sn/quadra-sarl, SNDKR2010B11182,1000000
TRADING AFRICA SARL,27/07/2010,01 FARBA QUARTIER THIAROYE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATION DE SERVICES INDUSTRIELS,http://www.creationdentreprise.sn/trading-africa-sarl, SNDKR2010B11028,1000000
MOKATO ESTANCIA SARL,29/07/2010,53 BIS HANN PLAGE-DAKAR,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMMOBILIER,http://www.creationdentreprise.sn/mokato-estancia-sarl, SNDKR2010B11186,1000000
SOCIETE DE L&#039;UNIVERSITE CHEIKH AMADOU BAMBA SARL,27/07/2010,HLM GRAND MEDINE VILLA N°856(...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),EDUCATION - FORMATION,http://www.creationdentreprise.sn/societe-de-luniversite-cheikh-amadou-bamba-sarl, SNDKR2010B11014,1000000
CMJN TRADING AND SERVICES SARL,27/07/2010,DAKAR-LIBERTE 6 EXTENSION...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/cmjn-trading-and-services-sarl, SNDKR2010B11013,1000000
AVIPREST CONSULTING INTERNATIONAL SAL -ACI SARL,27/07/2010,DAKAR-121 SIPRES 5 CAP DES...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ELEVAGE,http://www.creationdentreprise.sn/aviprest-consulting-international-sal-aci-sarl, SNDKR2010B11025,1000000
SPORTING AGE -SUARL,27/07/2010,DAKAR VILLA N°10 B ZONE B,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/sporting-age-suarl, SNDKR2010B11015,1000000
LOVE&#039;S FOOD FROM DIEG SARL,27/07/2010,DAKAR-APECSY 2 YOFF VILLA N°...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),RESTAURATION ET DEBITS DE BOISSONS,http://www.creationdentreprise.sn/loves-food-dieg-sarl, SNDKR2010B11016,1000000
